timestamp,side,fill_price,fill_qty,realized_pnl,position,pnl
2025-04-14 10:02:51,buy,13.34,1784,0.0,1784,0.0
2025-04-14 10:06:18,buy,13.34,600,0.0,2384,0.0
2025-04-14 10:09:02,sell,13.36,2400,47.679999999998984,-16,47.679999999998984
2025-04-14 10:12:53,buy,13.4,415,-0.6400000000000148,399,47.03999999999897
2025-04-14 10:14:31,buy,13.4,1454,0.0,1853,47.03999999999897
2025-04-14 10:14:31,buy,13.4,946,0.0,2799,47.03999999999897
2025-04-14 10:16:07,buy,13.34,152,0.0,2951,47.03999999999897
2025-04-14 10:25:29,sell,13.4,2400,7.417146729918045,551,54.457146729917014
2025-04-14 10:28:28,sell,13.38,1036,-9.317146729922747,-485,45.13999999999427
2025-04-14 10:28:28,sell,13.38,1364,0.0,-1849,45.13999999999427
2025-04-14 10:30:43,buy,13.36,2400,36.97999999999921,551,82.11999999999347
2025-04-14 10:33:43,sell,13.36,2400,0.0,-1849,82.11999999999347
2025-04-14 10:42:17,sell,13.34,138,0.0,-1987,82.11999999999347
2025-04-14 10:43:48,sell,13.36,960,0.0,-2947,82.11999999999347
2025-04-14 10:44:09,sell,13.38,1440,0.0,-4387,82.11999999999347
2025-04-14 10:44:45,buy,13.4,2400,-81.75427399133923,-1987,0.3657260086542351
2025-04-14 10:52:31,buy,13.38,930,-13.079781171644349,-1057,-12.714055162990114
2025-04-14 10:52:31,buy,13.38,1470,-14.865944837019438,413,-27.58000000000955
2025-04-14 11:04:32,sell,13.38,112,0.0,301,-27.58000000000955
2025-04-14 11:04:32,sell,13.38,904,0.0,-603,-27.58000000000955
2025-04-14 11:13:01,sell,13.38,2,0.0,-605,-27.58000000000955
2025-04-14 11:13:28,sell,13.38,870,0.0,-1475,-27.58000000000955
2025-04-14 11:13:28,sell,13.38,1528,0.0,-3003,-27.58000000000955
2025-04-14 11:22:20,sell,13.4,483,0.0,-3486,-27.58000000000955
2025-04-14 11:25:22,sell,13.4,305,0.0,-3791,-27.58000000000955
2025-04-14 11:25:22,sell,13.4,249,0.0,-4040,-27.58000000000955
2025-04-14 11:25:22,sell,13.4,760,0.0,-4800,-27.58000000000955
2025-04-14 11:26:38,buy,13.38,930,6.963374999998226,-3870,-20.616625000011325
2025-04-14 11:26:38,buy,13.38,414,3.0998249999992105,-3456,-17.516800000012115
2025-04-14 11:26:38,buy,13.38,81,0.6064874999998455,-3375,-16.910312500012267
2025-04-14 11:26:38,buy,13.38,975,7.300312499998141,-2400,-9.610000000014127
2025-04-14 11:44:04,sell,13.38,2388,0.0,-4788,-9.610000000014127
2025-04-14 11:44:10,sell,13.38,12,0.0,-4800,-9.610000000014127
2025-04-14 11:59:38,buy,13.36,1233,29.276043750003772,-3567,19.666043749989647
2025-04-14 11:59:38,buy,13.36,428,10.16232500000131,-3139,29.828368749990958
2025-04-14 11:59:38,buy,13.36,739,17.546631250002264,-2400,47.37499999999322
2025-04-14 12:06:15,sell,13.4,1939,0.0,-4339,47.37499999999322
2025-04-14 12:06:15,sell,13.4,58,0.0,-4397,47.37499999999322
2025-04-14 12:06:55,sell,13.4,223,0.0,-4620,47.37499999999322
2025-04-14 12:06:55,sell,13.4,180,0.0,-4800,47.37499999999322
2025-04-14 12:20:55,buy,13.44,1048,-50.43827499999985,-3752,-3.0632750000066267
2025-04-14 12:20:55,buy,13.44,1153,-55.49172812499983,-2599,-58.55500312500646
2025-04-14 12:20:55,buy,13.44,199,-9.577496874999971,-2400,-68.13250000000643
2025-04-14 12:26:37,sell,13.46,2400,0.0,-4800,-68.13250000000643
2025-04-14 12:36:45,buy,13.44,910,-12.798296874997703,-3890,-80.93079687500413
2025-04-14 12:36:45,buy,13.44,1490,-20.95545312499624,-2400,-101.88625000000037
2025-04-14 12:38:27,sell,13.46,840,0.0,-3240,-101.88625000000037
2025-04-14 13:15:58,buy,13.46,210,-5.2988541666663735,-3030,-107.18510416666675
2025-04-14 13:15:58,buy,13.46,2190,-55.25947916666361,-840,-162.44458333333034
2025-04-14 13:16:43,sell,13.48,368,0.0,-1208,-162.44458333333034
2025-04-14 13:16:43,sell,13.48,66,0.0,-1274,-162.44458333333034
2025-04-14 13:17:04,sell,13.48,462,0.0,-1736,-162.44458333333034
2025-04-14 13:17:04,sell,13.48,1504,0.0,-3240,-162.44458333333034
2025-04-14 13:32:13,sell,13.48,1560,0.0,-4800,-162.44458333333034
2025-04-14 13:42:03,buy,13.46,1580,19.093175347224438,-3220,-143.3514079861059
2025-04-14 13:42:03,buy,13.46,20,0.24168576388891694,-3200,-143.109722222217
2025-04-14 13:42:03,buy,13.46,295,3.564865017361525,-2905,-139.54485720485548
2025-04-14 13:42:03,buy,13.46,359,4.338259461806059,-2546,-135.20659774304943
2025-04-14 13:42:03,buy,13.46,146,1.7643060763890936,-2400,-133.44229166666034
2025-04-14 13:48:22,sell,13.5,1762,0.0,-4162,-133.44229166666034
2025-04-14 13:48:22,sell,13.5,155,0.0,-4317,-133.44229166666034
2025-04-14 13:48:22,sell,13.5,245,0.0,-4562,-133.44229166666034
2025-04-14 13:48:22,sell,13.5,238,0.0,-4800,-133.44229166666034
2025-04-14 13:49:25,buy,13.5,25,-0.34894639756943846,-4775,-133.7912380642298
2025-04-14 13:51:20,sell,13.52,25,0.0,-4800,-133.7912380642298
2025-04-14 13:52:24,buy,13.54,1477,-79.43452528731535,-3323,-213.22576335154514
2025-04-14 13:52:24,buy,13.54,923,-49.63985568056336,-2400,-262.8656190321085
2025-04-14 13:56:10,buy,13.52,2400,-81.07438096787973,0,-343.93999999998823
2025-04-14 14:04:15,sell,13.54,527,0.0,-527,-343.93999999998823
2025-04-14 14:04:15,sell,13.54,1873,0.0,-2400,-343.93999999998823
2025-04-14 14:05:14,buy,13.52,1600,31.999999999999318,-800,-311.9399999999889
2025-04-14 14:13:02,buy,13.52,217,4.3399999999999075,-583,-307.599999999989
2025-04-14 14:13:02,buy,13.52,783,11.659999999999751,200,-295.93999999998925
2025-04-14 14:13:02,buy,13.52,540,0.0,740,-295.93999999998925
2025-04-14 14:13:02,buy,13.52,89,0.0,829,-295.93999999998925
2025-04-14 14:17:57,buy,13.52,2400,0.0,3229,-295.93999999998925
2025-04-14 14:22:42,sell,13.54,346,6.919999999999238,2883,-289.01999999999003
2025-04-14 14:22:42,sell,13.54,61,1.2199999999998656,2822,-287.7999999999902
2025-04-14 14:24:21,sell,13.54,956,19.119999999997894,1866,-268.6799999999923
2025-04-14 14:24:28,buy,13.52,399,0.0,2265,-268.6799999999923
2025-04-14 14:24:28,buy,13.52,318,0.0,2583,-268.6799999999923
2025-04-14 14:24:28,buy,13.52,1683,0.0,4266,-268.6799999999923
2025-04-14 14:24:56,sell,13.44,1444,-115.52000000000267,2822,-384.19999999999493
2025-04-14 14:31:17,buy,13.48,1978,0.0,4800,-384.19999999999493
2025-04-14 14:40:23,sell,13.54,356,12.988066666665908,4444,-371.211933333329
2025-04-14 14:40:23,sell,13.54,2044,74.57193333332899,2400,-296.64
2025-04-14 14:40:23,buy,13.54,2394,0.0,4794,-296.64
2025-04-14 14:40:23,buy,13.54,6,0.0,4800,-296.64
2025-04-14 14:41:28,sell,13.56,2400,91.78000000000281,2400,-204.85999999999717
2025-04-14 14:44:29,buy,13.56,293,0.0,2693,-204.85999999999717
2025-04-14 14:44:29,buy,13.56,2107,0.0,4800,-204.85999999999717
